number,title,url,pages,summary,characters
31,Chaos Flower,https://frieren.fandom.com/wiki/Chapter_31,17,"Twenty-nine years after the Hero Himmel's passing, Frieren's Party are in the Laub Hills. Sein is complaining due to the lack of variety in party members. The party soon approaches a village, where they notice the villagers are all sleeping. As Sein examines them, he identifies that the villagers have been cursed by a monster. He asks the party to hurry as the easiest way to dispel the curse is to eliminate it. However, before they leave the village, Stark falls asleep as well, followed by Fern some time later. Sein and Frieren proceed onward, until Sein senses the presence of the monster. Hearing this, Frieren tells Sein to wake her when the monster appears before succumbing to the curse as well. Sein then proceeds to engage in a fight with the monster, a confusion flower that reflects magic. Having trouble against it, he decides to awaken Frieren, trusting in her words that she would defeat the monster, which she proceeds to blast with offensive magic. After awakening, the villagers thank the party, who proceed to head on their way.","[{""name"": ""Sein""}, {""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Stark""}, {""name"": ""Village chief"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Travels to Äußerst Arc""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Gorilla"", ""type"": ""Flashback"", ""link"": ""Kreis""}, {""name"": ""Demon King"", ""type"": ""Flashback Mentioned""}]"
32,The Orden Family,https://frieren.fandom.com/wiki/Chapter_32,18,"Twenty-nine years after the Hero Himmel's passing, Frieren, Sein, Fern and Stark approach the Fortress City of Vorig. Right outside the city, Stark is noticed by a nobleman named Orden. Orden takes the party to his estate with a request for Stark. While Frieren initially refuses Orden's request, he offers to pay them for Stark's services, and with the party already running low on funds, she agrees to hear him out. Due to Stark's resemblance to Orden's deceased son Wirt, he wants Stark to impersonate his son as a way to boost morale. Stark is then taught in the ways of etiquette by the butler Gabel. After a bout of practice, Orden leads Stark to teach him the Orden Family's swordsmanship. As they head to the training grounds, they come across Orden's second son Mut. Orden criticizes Mut's weakness, reminding Stark of his own father, but he soon realizes Orden's relationship with Mut is different. After three months have passed, Stark attends the social gathering whilst posing as Orden's son and dances with Fern. Afterwards, Orden praises Stark's strength, but before he can even ask, Stark tells Orden that he is not a replacement for his son, and that he needs to return to his own foster father lest he regrets the words they parted on. Orden agrees, and the two part amicably. While Frieren picks out her grimoire, Stark notices Orden encouraging Mut in his training, and smiles knowing Orden won't have to worry about matters of a heir.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Stark""}, {""name"": ""Sein""}, {""name"": ""Lord Orden"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Named Characters""}, {""name"": ""Gabel"", ""type"": ""Debut""}, {""name"": ""Wirt"", ""type"": ""Flashback Debut"", ""link"": ""List of Characters/Minor#Named Characters""}, {""name"": ""Mut"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Named Characters""}, {""name"": ""Stark's father"", ""type"": ""Flashback"", ""link"": ""List of Characters/Minor#Travels to Äußerst Arc""}, {""name"": ""Eisen"", ""type"": ""Flashback""}]"
33,Old Man Voll,https://frieren.fandom.com/wiki/Chapter_33,18,"Twenty-nine years after the Hero Himmel's passing, Frieren's Party is in the Klar Region. They are traveling to meet one of Frieren's old friends, a dwarven warrior whom Frieren calls Old Man Voll. Frieren tells Stark to train with Voll and throughout the week, while the party completes tasks for the village, reminisces with Voll about the past. At the end of the week, Frieren thanks Voll for giving her the chance to get to know the Hero Party all those years ago. Voll asks if Frieren still remembers Himmel's face and voice, as despite his wife being his reason for protecting the village, he no longer recalls hers. The two continue reminiscing, and upon hearing that Frieren is currently traveling to Ende, Voll wishes for a peaceful era to arrive soon. Frieren does not correct him and instead tells him she will carry his memory with her. The next day, as Frieren's Party is about to depart, Voll tells them that he had a dream of his wife. The party then continues their journey north.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Stark""}, {""name"": ""Sein""}, {""name"": ""Voll"", ""type"": ""Debut""}, {""name"": ""Klar Region Villager"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Travels to Äußerst Arc""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Voll's wife"", ""type"": ""Flashback Debut"", ""link"": ""List of Characters/Minor#Travels to Äußerst Arc""}, {""name"": ""Demon King"", ""type"": ""Mentioned""}]"
34,The Statues of Heroes,https://frieren.fandom.com/wiki/Chapter_34,18,"Twenty-nine years after the Hero Himmel's passing, Frieren's Party is traveling along the Rohr Road. Sein stops to talk to a farmer, and reminds the party that his reason for journeying is to reunite with his best friend. The friend's name is Warrior Gorilla, while Sein's nickname is Priest Goatee. They stop by a town before the road forks off into several paths where Sein asks about Gorilla. He is directed to a granny who was close to Gorilla, but she makes the party help with several errands before she tells them anything. The final errand is polishing a statue of some forgotten heroes that look like Sein and Gorilla, but Frieren realizes the Gorilla lookalike is Kraft. Sein, now knowing one of the forgotten hero's names, recalls standing with Warrior Gorilla next to a statue of the same forgotten heroes with Heiter. Gorilla vows to be a hero that is remembered like Himmel and dubs himself Warrior Gorilla, as to not be forgotten, a hero must have an unforgettable name. In response, Heiter gives Sein the nickname Priest Goatee, claiming he will one day match the other forgotten hero. As Sein and co finish polishing the statue, the granny tells them that Warrior Gorilla headed towards Tür, which is the opposite direction of where Frieren's Party is headed and leaves Sein unsure of what to do.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Stark""}, {""name"": ""Sein""}, {""name"": ""Gorilla"", ""type"": ""Flashback Debut"", ""link"": ""Kreis""}, {""name"": ""Rohr Road Villager"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Travels to Äußerst Arc""}, {""name"": ""Stubborn old woman"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Travels to Äußerst Arc""}, {""name"": ""Kraft's partner"", ""type"": ""Statue Debut"", ""link"": ""List of Characters/Minor#Travels to Äußerst Arc""}, {""name"": ""Nagel"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Travels to Äußerst Arc""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Kraft"", ""type"": ""Flashback""}, {""name"": ""Demon King"", ""type"": ""Mentioned""}]"
35,A Reason to Begin the Journey,https://frieren.fandom.com/wiki/Chapter_35,18,"Right after the events of the previous chapter, Frieren's Party is on the Rohr Road. They are discussing Warrior Gorilla's whereabouts, which are likely in the opposite direction from Äußerst. Finding Warrior Gorilla was Sein's reason for going on a journey, so this complicates things. They decide to put off the decision of what Sein will do until tomorrow, and they then go to a cabin Stark rented. While getting supplies, Fern notes that her hands are chilly, to which Frieren says it's because it's gotten colder lately. They attempt to continue their journey the next day, but a cold wave that is estimated to last for about a month stops them, meaning the party must stay in the village for a bit longer. Around the end of the cold wave, Frieren calls on Sein to mediate between Fern and Stark again, which leads to Stark apologizing to Fern. Afterward, Frieren and Sein are having a drink in a tavern, which leads to Sein asking Frieren why she was so concerned about him to the point where she told him to go on a journey with them. Frieren replies that it's because he reminded her of her old self before she joined the Hero Party and subjugated the Demon King. She adds that it is what Himmel would have done, and that the Hero Party gave her the courage to travel and taught her to understand how fun it is to travel with comrades. Sein agrees that the journey has been fun. Afterwards, when the cold wave is over, Frieren's Party departs for Äußerst, although without Sein, who has chosen to pursue Warrior Gorilla in order to not bear anymore regrets. The now separate parties continue their journeys.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Gorilla"", ""type"": ""Mentioned"", ""link"": ""Kreis""}, {""name"": ""Stark""}, {""name"": ""Sein""}, {""name"": ""Rohr Road Elder"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Travels to Äußerst Arc""}, {""name"": ""Shady old man"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Travels to Äußerst Arc""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}]"
36,Emotional Support,https://frieren.fandom.com/wiki/Chapter_36,16,"Twenty-nine years after Himmel the Hero's passing, Frieren's Party arrive in the Offen Mountain Range. Stark walks back to their camp, where Frieren is asleep, and he is surprised to see that Fern is also still sleeping. He prepares their food, and when he tries to wake Fern up, he notices she seems unwell. He wakes up Frieren so she can check on Fern, and Frieren deduces that Fern has a fever. Frieren uses notes left by Sein for treating illnesses and diagnoses Fern using magic, concluding that she has a cold, and she and Stark move Fern to a nearby cabin. Frieren comforts Fern by holding her hand like she did when she was ill as a child, much to Fern's embarrassment, and Frieren and Stark subsequently depart to search for herbs. On their way, Frieren comments that Fern will be an adult soon, and she still views Fern as a child in her heart. They arrive at an Icicle Cherry Blossom tree, and Stark asks Frieren why she held Fern's hand, as she never treated Fern like a child to that extent before. Frieren asks Stark what she should have done, and he tells her that she should just do what her heart tells her to, as some individuals need emotional support. His words remind Frieren of Himmel holding her hand when she was sick, just like she did with Fern. Frieren extracts the mushroom growing at the base of the tree and prepares the medicine, which she gives to Fern, eventually leading to her recovery. With Fern's improved condition, Frieren and her party depart to continue on their journey.","[{""name"": ""Stark""}, {""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Sein"", ""type"": ""Mentioned""}, {""name"": ""Cabin owner"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#Travels to Äußerst Arc""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}]"
37,The First-Class Exam,https://frieren.fandom.com/wiki/Chapter_37,21,"Twenty-nine years after the Hero Himmel’s passing, Frieren, Fern, and Stark are in the Kühl Region. The trio spot Äußerst in the distance and catch a coach the rest of the way. Meanwhile, in a remote area of Graf Granat's Domain, Mage Übel meets Monk Kraft when accosted by thieves. Übel reveals that she intends to take the First-Class Mage Exam in Äußerst and the two part ways. Some time later, at the Northern Branch of the Continental Magic Association in Äußerst, Frieren and Fern are informed the First-Class Mage Exam will be held in two months. Despite not having received the necessary mage class standing necessary to partake in the exam, an older mage recognizes Frieren's Holy Emblem and allows her to participate. Frieren and Fern then spend the next two months training for the exam. Two months later, all the mages participating in the First-Class Mage Exam have gathered. The proctor of the first exam, Genau, commences the first exam, a team battle, by splitting the examinees into groups of three. Frieren and Fern both find their teammates. To Frieren's dismay, her teammates are already fighting amongst themselves.","[{""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Stark""}, {""name"": ""Qual"", ""type"": ""Flashback""}, {""name"": ""Übel"", ""type"": ""Debut""}, {""name"": ""Bandits"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#First-Class Mage Exam Arc""}, {""name"": ""Aura"", ""type"": ""Mentioned""}, {""name"": ""Kraft""}, {""name"": ""CMA Receptionist"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#First-Class Mage Exam Arc""}, {""name"": ""Lernen"", ""type"": ""Cameo""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Genau"", ""type"": ""Debut""}, {""name"": ""Falsch"", ""type"": ""Cameo""}, {""name"": ""Sense"", ""type"": ""Cameo""}, {""name"": ""Wirbel"", ""type"": ""Debut""}, {""name"": ""Denken"", ""type"": ""Debut""}, {""name"": ""Lawine"", ""type"": ""Cameo""}, {""name"": ""Kanne"", ""type"": ""Cameo""}, {""name"": ""Land"", ""type"": ""Cameo""}]"
38,Stille—Meteoric Iron Bird,https://frieren.fandom.com/wiki/Chapter_38,18,"Right after the events of the previous chapter, Frieren and Fern are in the Grobe Basin, the location of the first stage of the first-class mage examination. Genau explains the exact rules of the first stage. First, each party must possess a cage with a bird native to the area, the ""meteoric iron bird"" called the ""Stille"", by sunset the next day. Secondly, all party members must be present and cannot leave the boundaries of the examination area, which has been demarcated with an impenetrable barrier spell. After explaining the rules, the exam commences. Frieren's teammates introduce themselves as Lawine and Kanne. Lawine spots a Stille in the middle of a lake, and though Kanne and Lawine coordinate their magic perfectly, it easily escapes. They proceed to observe more Stilles for the rest of the day. That night, Kanne is attacked by a bird monster but saved by Frieren who appears and restrains the monster. Frieren asks Kanne about her relationship with Lawine. Kanne recalls her first time learning flight magic and tells Frieren that Lawine is the one who showed her how to overcome frightening things. This causes Frieren to remember a moment with the Hero Party and Heiter's words that adventurers overcome their fear in different ways. Kanne then points out something that may help them catch a Stille. Meanwhile, Fern returns to her party, having already captured a Stille, and Übel indicates that the first stage will soon turn into a battle royale.","[{""name"": ""Richter"", ""type"": ""Cameo""}, {""name"": ""Denken""}, {""name"": ""Laufen"", ""type"": ""Cameo""}, {""name"": ""Fern""}, {""name"": ""Land"", ""type"": ""Cameo""}, {""name"": ""Übel""}, {""name"": ""Lawine"", ""type"": ""Debut""}, {""name"": ""Kanne"", ""type"": ""Debut""}, {""name"": ""Frieren""}, {""name"": ""Genau""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}, {""name"": ""Himmel"", ""type"": ""Flashback""}]"
39,Commence Capture Strategy,https://frieren.fandom.com/wiki/Chapter_39,18,"Right after the events of the previous chapter, Frieren, Lawine, and Kanne are discussing their observations from Stille-watching. Frieren reveals she knows a spell that captures a bird that can assist in capturing a Stille and decides on a strategy for their team. Meanwhile, Fern, Übel, and Land realize that the barrier around the exam grounds is keeping out the river water, causing most of the water in the Grobe Basin to gather in the lake in the center of the exam grounds. This will cause Stilles and examinees alike to flock to the lake. The Fourth Party elects to avoid in lake in hopes of avoiding battle, but their hopes are dashed when Wirbel's team attacks them. Before a battle can break out, they are interrupted by a burst of magic from the lake courtesy of Lawine, who has frozen over the entire lake. While other parties attempt to melt the lake, Denken infers that it is a wasted effort as the usage of so much mana will deter any other Stilles from showing up. Denken then decides their party will steal the Second Party's Stille, and Wirbel's party and Fern's party begin to battle. Meanwhile, the Second Party continues to enact their strategy around the forest.","[{""name"": ""Frieren""}, {""name"": ""Lawine""}, {""name"": ""Kanne""}, {""name"": ""Fern""}, {""name"": ""Übel""}, {""name"": ""Land"", ""type"": ""Debut""}, {""name"": ""Wirbel""}, {""name"": ""Ehre"", ""type"": ""Cameo""}, {""name"": ""Scharf"", ""type"": ""Cameo""}, {""name"": ""Party that tries to melt the lake"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#First-Class Mage Exam Arc""}, {""name"": ""Edel"", ""type"": ""Cameo""}, {""name"": ""Blei"", ""type"": ""Cameo""}, {""name"": ""Dünste"", ""type"": ""Cameo""}, {""name"": ""Denken""}, {""name"": ""Richter"", ""type"": ""Cameo""}, {""name"": ""Laufen"", ""type"": ""Cameo""}]"
40,A Spell to Capture a Bird,https://frieren.fandom.com/wiki/Chapter_40,18,"Right after the events of the previous chapter, the Thirteenth Party, which consists of Denken, Richter, and Laufen, moves to dismantle the Second Party's elaborate plan. The Thirteenth Party notes how inexperienced many of the examinees are. Richter states the exam is so dangerous because the Continental Magic Association wants to foster strong first-class mages, but Denken disagrees with this ideology as he values authority over strength. The different teams are shown all attempting to obtain a Stille in their own ways. Denken notes that every body of water they come across has faint traces of mana circulating through it. He deduces that there is one body of water the Second Party has not tampered with, and their whereabouts must be nearby it. Meanwhile, Frieren completely suppresses her mana and sits in wait for a Stille. Finally, after significant time has passed, a Stille lands on her shoulder, and Frieren uses her bird-capturing magic. This reveals her position to the Thirteenth Party, and Laufen quickly uses her magic to intercept the Second Party before they can escape.","[{""name"": ""Stark"", ""type"": ""Chapter Cover""}, {""name"": ""Denken""}, {""name"": ""Richter"", ""type"": ""Debut""}, {""name"": ""Laufen"", ""type"": ""Debut""}, {""name"": ""Edel"", ""type"": ""Cameo""}, {""name"": ""Blei"", ""type"": ""Cameo""}, {""name"": ""Dünste"", ""type"": ""Cameo""}, {""name"": ""Inexperienced party killed by Geisels"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#First-Class Mage Exam Arc""}, {""name"": ""Complaining party"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#First-Class Mage Exam Arc""}, {""name"": ""Genau""}, {""name"": ""Methode"", ""type"": ""Cameo""}, {""name"": ""Länge"", ""type"": ""Cameo""}, {""name"": ""Ton"", ""type"": ""Cameo""}, {""name"": ""Lawine""}, {""name"": ""Kanne""}, {""name"": ""Frieren""}, {""name"": ""Fern""}, {""name"": ""Ehre"", ""type"": ""Cameo""}, {""name"": ""Übel""}, {""name"": ""Wirbel""}]"
41,Time for Resolve,https://frieren.fandom.com/wiki/Chapter_41,18,"Right after the events of the previous chapter, Fern and Wirbel's teams continue to fight. Fern faces off against Ehre, who declares that if Fern were facing off against Wirbel, she would be dead. Fern finds this curious, as she feels Ehre is the strongest among her party. Ehre refutes this and says that Wirbel's experience is on an entirely different level and as such, Übel is likely to be killed. Fern appears unconcerned and fires a swarm of offensive magic that overwhelms Ehre's defenses. Meanwhile, Übel fights against Wirbel using her cleaving magic. Though both manage to figure out the weaknesses of their opponents' magic, after a brief fight where Übel is able to slash Wirbel's face, Wirbel is able to immobilize Übel using Sorganeil, the spell of binding. Wirbel notes that Übel had aimed for his eyes instead of his neck and in his experience, this marked her as a degenerate who enjoyed killing. He muses that it would be better to kill Übel on the spot. Übel buys time by asking about Wirbel's history. Wirbel reveals that his magic allows him time to build up the resolve to kill, but in the end he has never shirked from a necessary kill; as he speaks, he raises his staff to Übel's head. However, he is stopped by Fern, who sneaks up behind him and holds Wirbel at staff point. As the three of them are now at an impasse, Fern proposes that they strike a deal.","[{""name"": ""Stark"", ""type"": ""Chapter Cover""}, {""name"": ""Scharf"", ""type"": ""Debut""}, {""name"": ""Land""}, {""name"": ""Ehre"", ""type"": ""Debut""}, {""name"": ""Fern""}, {""name"": ""Lernen"", ""type"": ""Mentioned (Indirectly)""}, {""name"": ""Frieren"", ""type"": ""Imagined""}, {""name"": ""Wirbel""}, {""name"": ""Übel""}]"
42,A Reason to Fight,https://frieren.fandom.com/wiki/Chapter_42,18,"Right after the events of the previous chapter, Wirbel asks what happened to Ehre. Fern, expressionless, tells Wirbel that she killed Ehre. Since one of the conditions to pass is for all party members to be present, Wirbel concedes defeat and leaves. Removed from the rest of their parties, Land is still fighting Scharf, who controls flower petals to slice and disable Land's dominant arm. As he prepares to behead Land, Land notes that Scharf is bad at mana detection. Another figure of Land appears behind Scharf, paralyzing him, and Land reveals that he has been using a clone of himself since the beginning of the exam. Wirbel comes across Ehre lying in the middle of a clearing and realizes Fern's deception, but Ehre and Scharf are both unable to move. Believing they will fail for sure, Wirbel carries them both around the exam grounds and reminisces on his motivation to fight. By chance, they happen across a Stille perched in a tree which Wirbel summarily paralyzes with Sorganeil. Meanwhile, the Thirteenth Party has found the Second Party, with Laufen confronting the three mages in the Second Party alone. Laufen disappears and uses magic to steal the Stille away from Frieren in the blink of an eye, leaving the Second Party to figure out where Laufen has gone.","[{""name"": ""Fern""}, {""name"": ""Wirbel""}, {""name"": ""Übel""}, {""name"": ""Land""}, {""name"": ""Scharf""}, {""name"": ""Ehre""}, {""name"": ""Wirbel's childhood crush"", ""type"": ""Flashback Debut"", ""link"": ""List of Characters/Minor#First-Class Mage Exam Arc""}, {""name"": ""Lernen"", ""type"": ""Mentioned (Indirectly)""}, {""name"": ""Laufen""}, {""name"": ""Frieren""}, {""name"": ""Kanne""}, {""name"": ""Lawine""}, {""name"": ""Denken""}]"
43,Privilege,https://frieren.fandom.com/wiki/Chapter_43,21,"Right after the events of the previous chapter, Laufen escapes with the stolen Stille using her magic. At the same time, at a high vantage point within the barrier, Genau takes tea with the proctor of the second exam, Sense. Genau believes luck and strength to be important qualities for mages to possess, and he and Sense argue over their philosophies for exams. Meanwhile, Denken and Richter move to fight the Second Party. Denken recognizes that Frieren is the Mage of the Hero Party and wishes to challenge her. Richter is surprised that Denken is not after the ""privilege"" bestowed by the Great Mage Serie, who can grant any magic that one desires, but states nonetheless that he will kill Lawine and Kanne. However, Denken tells him that will not be necessary as he will crush Frieren. Richter then separates the battlefield using earth manipulation magic, and the Second and Thirteenth Parties prepare to face off. Alone with Frieren, Denken says that the pursuit of magic is what brings the greatest joy, which reminds Frieren of a previous meeting with Serie where Frieren rejected Serie's ""privilege"" for the same reason. This lead Flamme to declare that Frieren, as a mage of a peaceful era, would be able to defeat the Demon King. Reminded of her master's words, Frieren affirms that the joy of pursuing magic is what it truly means to be a mage.","[{""name"": ""Laufen""}, {""name"": ""Frieren""}, {""name"": ""Lawine""}, {""name"": ""Kanne""}, {""name"": ""Genau""}, {""name"": ""Sense"", ""type"": ""Debut""}, {""name"": ""Denken""}, {""name"": ""Richter""}, {""name"": ""Serie"", ""type"": ""Flashback Debut""}, {""name"": ""Demon King"", ""type"": ""Mentioned""}, {""name"": ""Goddess of Creation"", ""type"": ""Imagined""}, {""name"": ""Falsch"", ""type"": ""Imagined""}, {""name"": ""Flamme"", ""type"": ""Flashback""}]"
44,Recapture the Stille,https://frieren.fandom.com/wiki/Chapter_44,18,"Right after the events of the previous chapter, Lawine and Kanne begin to fight Richter in a battle of attrition. However, Richter utilizes the flaw in defense magic, its weakness against physical mass, and using his earth manipulation magic and greater mana, easily overwhelms Lawine and Kanne. Richter calls out Lawine's bluff about manipulating the water within his body, correctly guessing that neither Lawine nor Kanne would be able to visualize such magic, and tells the pair to settle down while Denken defeats Frieren. Denken uses a powerful series of spells that impresses even Genau and Sense, the latter of whom calls into question the integrity of the exam ground's barrier, but Genau states that as it is cast by the Great Mage Serie, the barrier is impenetrable. Though Denken casts more spells, Frieren is able to slip past his defenses and defeat him using basic offense magic. She then threatens Denken's life to draw out Laufen, and after restraining both Laufen and Denken to a tree, recovers the Stille. Seeing that Denken has lost, Richter prepares to face Lawine and Kanne seriously. Despite Denken's concern for Lawine and Kanne's safety, Frieren is assured that they will win, and indicates that she has finished deciphering Serie's barrier.","[{""name"": ""Richter""}, {""name"": ""Lawine""}, {""name"": ""Kanne""}, {""name"": ""Frieren""}, {""name"": ""Denken""}, {""name"": ""Genau""}, {""name"": ""Sense""}, {""name"": ""Serie"", ""type"": ""Mentioned""}, {""name"": ""Laufen""}]"
45,Water-Manipulation Magic,https://frieren.fandom.com/wiki/Chapter_45,19,"Right after the events of the previous chapter, Richter begins to seriously fight Lawine and Kanne. Frieren casts a spell, and though Genau states that it is impossible, manages to shatter Serie's barrier. This catches Serie's attention, as she has been waiting for Frieren to reappear again. The rain that the barrier had previously held back begins pouring down. Using the rain, Lawine and Kanne manage to easily overpower Richter with their magic, winning the battle. Later, after the Second Party has left with the Stille, the Thirteenth Party regroup, and despite being out of mana, they engage in a fist fight with another team and are able to secure a Stille. Various teams are shown in the final few hours of the exam defending or securing their Stille. At sunset, Genau declares the first exam to be over and reveals that six parties have passed the first stage of the exam. Meanwhile, Stark is shown having a drink in a bar. He comments that two days have passed since the First-Class Mage Exam's start.","[{""name"": ""Richter""}, {""name"": ""Lawine""}, {""name"": ""Kanne""}, {""name"": ""Frieren""}, {""name"": ""Denken""}, {""name"": ""Laufen""}, {""name"": ""Genau""}, {""name"": ""Sense""}, {""name"": ""Serie""}, {""name"": ""Land""}, {""name"": ""Übel""}, {""name"": ""Fern""}, {""name"": ""Party with one member dead"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#First-Class Mage Exam Arc""}, {""name"": ""Edel"", ""type"": ""Cameo""}, {""name"": ""Blei"", ""type"": ""Cameo""}, {""name"": ""Dünste"", ""type"": ""Cameo""}, {""name"": ""Wirbel""}, {""name"": ""Ehre""}, {""name"": ""Scharf""}, {""name"": ""Complaining party"", ""link"": ""List of Characters/Minor#First-Class Mage Exam Arc""}, {""name"": ""Methode"", ""type"": ""Cameo""}, {""name"": ""Ton"", ""type"": ""Cameo""}, {""name"": ""Länge"", ""type"": ""Cameo""}, {""name"": ""Stark""}, {""name"": ""Äußerst bartender"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#First-Class Mage Exam Arc""}]"
46,An Even-Better Flavor,https://frieren.fandom.com/wiki/Chapter_46,18,"Right after the events of the previous chapter, Genau introduces the six parties that have passed the first stage of the First-Class Mage Exam. He then explains that the second stage of the exam will begin in three days and dismisses all the examinees. The next day, back in Äußerst, Stark wakes up in the evening. Fern chastises Stark and Frieren for their childish antics and they decide to take Fern to a nice restaurant in town to make up for angering her. Meanwhile, Richter is shown working in a shop and repairing items with magic. Denken and Laufen convince him to go to a restaurant with them, coincidentally the same one Frieren's Party have decided to go to. Meanwhile, Übel finds Land and starts a conversation with him. She reveals that she is able to learn others' magic through empathy; as a result, she wishes to get to know Land better. At the restaurant, Stark notes the exorbitant amount of food Frieren has ordered. Frieren recalls her memory of dining at this same restaurant with the Hero Party, where she explained that she must relish good food because it she so often will never have the chance to taste that same flavor again. In response, as a reward for their quest Himmel asks that the head chef, Lecker, makes sure the taste of his food remains unchanged in the future. In the present day, Frieren tries the food and comments that the taste has changed, but she smiles as she realizes it has become even better than before.","[{""name"": ""Genau""}, {""name"": ""Methode"", ""type"": ""Debut""}, {""name"": ""Ton"", ""type"": ""Debut""}, {""name"": ""Länge"", ""type"": ""Debut""}, {""name"": ""Frieren""}, {""name"": ""Kanne""}, {""name"": ""Lawine""}, {""name"": ""Fern""}, {""name"": ""Übel""}, {""name"": ""Land""}, {""name"": ""Wirbel""}, {""name"": ""Ehre""}, {""name"": ""Scharf""}, {""name"": ""Denken""}, {""name"": ""Richter""}, {""name"": ""Laufen""}, {""name"": ""Edel"", ""type"": ""Debut""}, {""name"": ""Blei"", ""type"": ""Debut""}, {""name"": ""Dünste"", ""type"": ""Debut""}, {""name"": ""Stark""}, {""name"": ""Old lady"", ""type"": ""Debut"", ""link"": ""List of Characters/Minor#First-Class Mage Exam Arc""}, {""name"": ""Denken's wife"", ""type"": ""Mentioned""}, {""name"": ""Lecker"", ""type"": ""Flashback Debut"", ""link"": ""List of Characters/Minor#Named Characters""}, {""name"": ""Himmel"", ""type"": ""Flashback""}, {""name"": ""Heiter"", ""type"": ""Flashback""}, {""name"": ""Eisen"", ""type"": ""Flashback""}]"
